Boyd ADMM Lasso rho/alpha tuning
Run directory: example/boyd_admm_lasso_20260513
MATLAB version: 25.1.0.2943329 (R2025a)
Timestamp: 2026-05-13 12:49:49
Baseline objective: 17.2693553575
Objective tolerance: 0.1

=== Trial 01: rho=0.1 alpha=1 ===
iter	    r norm	   eps pri	    s norm	  eps dual	 objective
 29	    0.4446	    0.0809	    0.0166	    0.0527	     16.12
 30	    0.4291	    0.0808	    0.0125	    0.0529	     16.17
 31	    0.4109	    0.0808	    0.0100	    0.0532	     16.21
 32	    0.3936	    0.0807	    0.0089	    0.0534	     16.24
 33	    0.3754	    0.0808	    0.0087	    0.0536	     16.28
 34	    0.3571	    0.0809	    0.0102	    0.0539	     16.34
 35	    0.3430	    0.0810	    0.0095	    0.0541	     16.41
 36	    0.3334	    0.0811	    0.0066	    0.0543	     16.46
 37	    0.3231	    0.0812	    0.0043	    0.0545	     16.49
 38	    0.3114	    0.0812	    0.0041	    0.0547	     16.52
 39	    0.3000	    0.0812	    0.0049	    0.0548	     16.53
 40	    0.2901	    0.0812	    0.0048	    0.0550	     16.55
 41	    0.2819	    0.0812	    0.0037	    0.0552	     16.57
 42	    0.2741	    0.0812	    0.0023	    0.0554	     16.60
 43	    0.2654	    0.0813	    0.0020	    0.0556	     16.62
 44	    0.2555	    0.0813	    0.0045	    0.0557	     16.66
 45	    0.2455	    0.0814	    0.0055	    0.0559	     16.71
 46	    0.2388	    0.0814	    0.0044	    0.0560	     16.74
 47	    0.2330	    0.0814	    0.0024	    0.0562	     16.77
 48	    0.2264	    0.0814	    0.0014	    0.0563	     16.78
 49	    0.2188	    0.0814	    0.0019	    0.0564	     16.79
 50	    0.2106	    0.0815	    0.0041	    0.0566	     16.81
 51	    0.2019	    0.0815	    0.0050	    0.0567	     16.84
 52	    0.1966	    0.0816	    0.0040	    0.0568	     16.87
 53	    0.1914	    0.0816	    0.0030	    0.0569	     16.91
 54	    0.1846	    0.0817	    0.0031	    0.0570	     16.93
 55	    0.1788	    0.0817	    0.0029	    0.0571	     16.95
 56	    0.1740	    0.0817	    0.0022	    0.0572	     16.96
 57	    0.1693	    0.0817	    0.0015	    0.0573	     16.97
 58	    0.1644	    0.0817	    0.0014	    0.0574	     16.97
 59	    0.1593	    0.0817	    0.0022	    0.0575	     16.98
 60	    0.1544	    0.0817	    0.0025	    0.0576	     17.00
